protocol,server.buf_size,server.rsp_size,client.buf_size,client.msg_size,num_samples,num_warmup_rounds,timeout_sec,act_sample_count,act_warmup_rounds,min,max,p99,p999,avg,median,q25,q75,lower_bound,upper_bound,num_outliers_lo,num_outliers_hi,outliers_lo,outliers_hi,scenario,instance_type,timestamp,git_hash,architecture_id
inet,1024,65536,1048576,8,1000000,10000,10,8100,900,374.13,1782.986,1531.166,1635.269,1217.984952,1270.857,1093.011,1349.112,708.8595,1733.2635,99,2,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,131072,1048576,8,1000000,10000,10,7200,800,436.944,1815.327,1610.654,1708.531,1276.738845,1319.555,1171.999,1393.776,839.3335,1726.4415,147,5,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,262144,1048576,8,1000000,10000,10,7200,800,555.012,2171.19,1976.124,2114.834,1412.600976,1426.628,1239.573,1587.817,717.207,2110.183,34,10,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,524288,1048576,8,1000000,10000,10,4500,500,1195.159,3229.893,3029.1,3148.586,2433.892081,2461.781,2198.025,2712.371,1426.506,3229.893,12,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,1048576,1048576,8,1000000,10000,10,2700,300,2657.118,5380.247,5161.875,5311.078,4541.73969,4561.098,4311.037,4796.229,3583.249,5380.247,15,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:25:02,41bc1ff,5
inet,1024,64,1048576,8,1000000,10000,10,2000,10000,139.653,1574.518,1246.742,1421.572,810.12498,825.063,689.783,956.49,289.7225,1356.5505,86,4,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,128,1048576,8,1000000,10000,10,8100,900,215.589,1984.0,1496.329,1643.19,1157.557247,1185.833,1032.778,1299.626,632.506,1699.898,106,6,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,256,1048576,8,1000000,10000,10,8100,900,180.896,1756.276,1476.21,1587.359,1113.465898,1135.944,977.512,1268.344,541.264,1704.592,56,2,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,512,1048576,8,1000000,10000,10,8100,900,247.539,1681.864,1470.596,1577.056,1132.452652,1154.551,1003.407,1286.189,579.234,1681.864,78,0,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,1024,1048576,8,1000000,10000,10,1000,10000,220.434,1675.8,1305.543,1675.8,902.925032,910.526,778.989,1048.193,375.183,1451.999,23,1,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,2048,1048576,8,1000000,10000,10,9000,1000,179.162,2192.653,1455.918,1574.686,1079.400577,1097.739,944.221,1244.361,494.011,1694.571,71,5,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,4096,1048576,8,1000000,10000,10,9000,1000,137.688,2157.758,1460.554,1787.358,1004.963778,1019.157,861.418,1168.757,400.4095,1629.7655,116,36,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,8192,1048576,8,1000000,10000,10,8100,900,165.563,3298.901,1922.996,2107.452,1144.564716,1146.376,975.565,1285.216,511.0885,1749.6925,65,263,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,16384,1048576,8,1000000,10000,10,8100,900,272.456,1973.046,1545.441,1702.509,1186.655371,1215.623,1064.851,1319.642,682.6645,1701.8285,62,9,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,32768,1048576,8,1000000,10000,10,8100,900,228.12,1956.239,1550.901,1736.208,1218.470108,1253.264,1100.094,1348.042,728.172,1719.964,71,12,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,65536,1048576,8,1000000,10000,10,7200,800,388.673,2132.247,1608.571,1845.783,1252.269889,1285.935,1131.326,1380.499,757.5665,1754.2585,50,17,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
inet,1024,131072,1048576,8,1000000,10000,10,8100,900,531.257,2229.874,1683.146,1896.712,1215.848992,1230.516,1063.22,1372.201,599.7485,1835.6725,10,16,,,cross_instance_host2enclave,c6in.8xlarge,2025-03-12 13:26:22,41bc1ff,5
